"status","product_area","response","justification","request_type"
"replied","Admin Management","Please contact your IT admin to add you back to the IdP group associated with your role. If you need to force an immediate sync, you can click 'SCIM sync' in the Groups section.","According to Doc 1, removing a member from the IdP group revokes their access. To restore access, they should be added back to the group. Doc 1 also mentions that clicking 'SCIM sync' can force an immediate sync rather than waiting for the next scheduled sync.","product_issue"
"escalated","integrations","This issue requires specialized attention from our support team. A support specialist will review your case and follow up with you shortly. We appreciate your patience.","Ticket involves assessment integrity or score dispute — requires human review.","product_issue"
"replied","Dispute Resolution","We're sorry to hear that you received the wrong product and are having trouble getting a refund from the merchant. Please contact your issuer or bank using the freephone number located on the front or back of your Visa card to report the issue and request a refund.","According to Doc 2, the issuer or bank is best equipped to provide assistance with disputed charges. The customer should contact their issuer or bank for help with the refund.","invalid"
"replied","Mock Interviews","I'm sorry to hear that your mock interviews stopped in between. Please check our Mock Interview Credits article to see if you can troubleshoot the issue or contact our support team for further assistance.","The provided documents do not explicitly address refunds for mock interviews. However, Doc 3 provides troubleshooting steps for mock interviews, and Doc 2 explains how to purchase mock interview credits. We recommend checking these resources or contacting our support team for further assistance.","bug"
"replied","Subscriptions, Payments, and Billing","I'd be happy to help you with your payment issue. Please check our Payments and Billing FAQs for more information on how to resolve the issue with your order ID cs_live_abcdefgh.","According to our Subscriptions, Payments, and Billing FAQs, we have a dedicated section for payment-related issues. The user can find more information on how to resolve their issue by checking the FAQs.","product_issue"
"replied","Evaluation Guides","To help you with the infosec process for your company, we recommend reviewing our Early Talent evaluation guide. This guide provides information on how to plan and set up your hiring process, including creating Interview Templates. You can also use this time to set up and create Interview Templates to ensure consistency in your candidate evaluation process.","According to Doc 1, hiring early talent developers is vital to a company's success, and Doc 2 suggests using this time to set up and create Interview Templates. Doc 3 provides additional context on HackerRank's technology hiring platform, but it does not directly address the infosec process.","product_issue"
"replied","Interview and Scheduling","Please check your role and license type in HackerRank to ensure you have access to our remote-first interviewing solution. You need a Recruiter, Developer, or Interviewer role to use the add-on.","According to Doc 2, you need a Recruiter, Developer, or Interviewer role to access our remote-first interviewing solution. Also, refer to Doc 3 for the same requirement.","bug"
"replied","Testing and Assessment","It seems like there's an issue with submissions not working on our website. Please try refreshing the page or checking your internet connection. If the issue persists, please contact our support team for further assistance.","The provided documents do not mention any known issues with submissions not working. However, they do provide general best practices for test administration and release notes for previous updates. Since the issue is not explicitly mentioned in the documents, we'll provide a general troubleshooting step to try and resolve the issue.","bug"
"replied","Scheduling","Please check if you have the required Recruiter or Interviewer role inside HackerRank to use the remote-first interviewing solution. Also, ensure that you have added the Zoom connectivity to your calendar settings.","According to [Doc 1], you need access to HackerRank Interview and a Recruiter or Interviewer role to use the calendar add-on. [Doc 2] does not provide specific information about the issue, but [Doc 1] covers the necessary requirements for using the add-on.","bug"
"replied","onboarding-candidates","I'm happy to help you reschedule your HackerRank assessment. However, please note that our support documentation does not provide a clear process for rescheduling assessments. I recommend reaching out to the team that scheduled your assessment for assistance.","Our documentation emphasizes the importance of providing correct Time and Date in the invitation mail to avoid confusion among candidates, but it does not address rescheduling requests. [Doc 1]","feature_request"
"replied","Interviews","The inactivity time for candidates and interviewers is currently set to automatically push the candidate back to the lobby when all interviewers leave the interview. This is to prevent interviewers or recruiters from entering the interview while it is already in progress.","According to Doc 2, the candidate is automatically pushed back to the lobby when all interviewers leave the interview. There is no mention of specific inactivity times for candidates and interviewers.","product_issue"
"replied","Claude for Nonprofits","I'm happy to help, but I need more information about the issue you're experiencing. Can you please provide more details about what's not working?","The provided support documents do not address general troubleshooting or provide a clear solution for the issue 'it's not working, help'. We need more context to assist you effectively.","bug"
